name,price,psf,address,description,bedroom,bathroom,carpark
"Pavilion Suites, Bukit Bintang","RM2,200,000",(RM 2945.11 per sq. ft.),"Bukit Bintang, Kuala Lumpur",Condominium  •  Built-up : 747 sq. ft.  •  Fully furnished,1,1,1
"11 Mont Kiara @ MK11, Mont Kiara","RM2,700,000",(RM 852 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,169 sq. ft.  •  Fully furnished",4+1,5,3
"Alix Residences, Dutamas","RM1,172,000",(RM 644.31 per sq. ft.),"Dutamas, Kuala Lumpur","Condominium  •  Built-up : 1,819 sq. ft.",3+1,3,2
"Aminuddin Baki, Taman Tun Dr Ismail","RM1,350,000",(RM 964.29 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,400 sq. ft.",3,2,2
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","RM929,000",(RM 521.32 per sq. ft.),"Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Partly furnished",3+2,5,5
"Aria, KLCC","RM1,450,000",(RM 1251.08 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,159 sq. ft.  •  Fully furnished",2+1,2,1
"Aria, KLCC","RM1,850,000",(RM 1231.69 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,502 sq. ft.  •  Fully furnished",3+1,3,2
"Arte Condominium, Kuchai Lama","RM638,000",(RM 426.47 per sq. ft.),"Kuchai Lama, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,496 sq. ft.  •  Partly furnished",3+1,2,2
"Large house and garden, Bukit Tunku (Kenny Hills)","RM12,500,000",(RM 1388.89 per sq. ft.),"Bukit Tunku (Kenny Hills), Kuala Lumpur","Bungalow  •  Built-up : 9,000 sq. ft.  •  Partly furnished",6+1,7,
"Tiffani Kiara, Mont Kiara","RM1,250,000",(RM 553.83 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,257 sq. ft.  •  Partly furnished",3+1,5,2
"Reed, Lake Fields, Sungai Besi","RM1,450,000",(RM 450.87 per sq. ft.),"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,216 sq. ft.  •  Unfurnished",5,5,2
"Stonor 3, KLCC","RM1,088,888",(RM 1250.16 per sq. ft.),"KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Fully furnished,2,2,2
"One Menerung, Bukit Bandaraya, Bangsar","RM9,480,000",(RM 1823.08 per sq. ft.),"Bangsar, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 5,200 sq. ft.  •  Partly furnished",4,5,3
"Four Seasons Place, KLCC","RM2,688,888",(RM 2448.9 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,098 sq. ft.  •  Fully furnished",2+1,2,2
"Flat & Rectangular land. 9400 sq ft., Damansara Heights","RM5,650,000",(RM 1883.33 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 3,000 sq. ft.",4+1,3,3
"Stonor 3, KLCC","RM1,088,888",(RM 1250.16 per sq. ft.),"KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 871 sq. ft.  •  Fully furnished,2,2,2
"Sri Intan 1, Taman Bamboo, Jalan Kuching","RM380,000",(RM 329.86 per sq. ft.),"Jalan Kuching, Kuala Lumpur","Apartment | Corner lot  •  Built-up : 1,152 sq. ft.  •  Partly furnished",3,2,1
"Damansara heights, Damansara Heights","RM3,800,000",(RM 844.44 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 4,500 sq. ft.  •  Unfurnished",5+1,6,5
"Scenaria @ North Kiara Hills, Taman Sri Sinar, Segambut","RM700,000",(RM 560 per sq. ft.),"Segambut, Kuala Lumpur","Condominium  •  Built-up : 1,250 sq. ft.  •  Partly furnished",3+1,3,2
"The Park 2, Bukit Jalil","RM728,000",(RM 970.67 per sq. ft.),"Bukit Jalil, Kuala Lumpur",Serviced Residence  •  Built-up : 750 sq. ft.  •  Partly furnished,2,1,1
"Chow Kit, KL City","RM670,000",(RM 446.67 per sq. ft.),"KL City, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 1,500 sq. ft.  •  Unfurnished",4,2,
"Verve Suites, Mont Kiara","RM480,000",(RM 1038.96 per sq. ft.),"Mont Kiara, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 462 sq. ft.  •  Fully furnished,1,1,1
"Pavilion Hilltop, Mont Kiara","RM2,600,000",(RM 962.25 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,702 sq. ft.  •  Partly furnished",4+1,6,3
"Fortune Centra, Kepong","RM625,000",(RM 586.3 per sq. ft.),"Kepong, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,066 sq. ft.  •  Partly furnished",3,2,2
"Pavilion Hilltop, Mont Kiara","RM3,860,000",(RM 1051.48 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 3,671 sq. ft.  •  Partly furnished",5+1,6,3
"Pavilion Hilltop, Mont Kiara","RM1,750,000",(RM 956.28 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,830 sq. ft.  •  Partly furnished",4+1,4,2
"Opus KL, Kampung Attap, KL City","RM1,150,000",(RM 1065.8 per sq. ft.),"KL City, Kuala Lumpur","Serviced Residence  •  Built-up : 1,079 sq. ft.",3,2,1
"DALE Lakefields/ Lakefield/ Lake Field KL Sg Besi, Sungai Besi","RM1,580,000",(RM 607.69 per sq. ft.),"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | End lot  •  Built-up : 2,600 sq. ft.  •  Unfurnished",5,4,2
"The Manor, KLCC","RM2,070,000",(RM 1934.58 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,070 sq. ft.  •  Partly furnished",2,2,1
"Agile Mont Kiara, Mont Kiara","RM2,450,000",(RM 885.76 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,766 sq. ft.",4+1,5,3
"Arte Mont Kiara, Mont Kiara","RM445,000",(RM 919.42 per sq. ft.),"Mont Kiara, Kuala Lumpur",Serviced Residence  •  Built-up : 484 sq. ft.  •  Fully furnished,1,2,1
"Pavilion, Damansara Heights","RM968,888",(RM 1577.99 per sq. ft.),"Damansara Heights, Kuala Lumpur",Serviced Residence  •  Built-up : 614 sq. ft.  •  Partly furnished,1,1,1
"Pavilion, Damansara Heights","RM968,888",(RM 1577.99 per sq. ft.),"Damansara Heights, Kuala Lumpur",Serviced Residence  •  Built-up : 614 sq. ft.  •  Partly furnished,1,1,1
"Taman Bukit Maluri , Bandar Menjalara , Kepong , Kepong","RM1,380,000",(RM 552 per sq. ft.),"Kepong, Kuala Lumpur","1.5-sty Terrace/Link House | Intermediate  •  Built-up : 2,500 sq. ft.  •  Partly furnished",4,3,6
"United Garden (Taman Lee Yan Lian), United Garden (Taman Lee Yan Lian), Jalan Klang Lama (Old Klang Road)","RM198,000",(RM 282.86 per sq. ft.),"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Flat | Corner lot  •  Built-up : 700 sq. ft.  •  Unfurnished,3,1,
"The Binjai on the Park, KL City Centre, KLCC","RM6,000,000",(RM 2033.9 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,950 sq. ft.  •  Partly furnished",3+1,4,3
"sri petaling, Sri Petaling","RM730,000",(RM 365 per sq. ft.),"Sri Petaling, Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Partly furnished",4,2,5
"Riana South, Bukit Mandarina, Cheras","RM775,000",(RM 631.62 per sq. ft.),"Cheras, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,227 sq. ft.",3,2,2
"The Capers @ Sentul East, Sentul East, Sentul","RM580,000",(RM 661.35 per sq. ft.),"Sentul, Kuala Lumpur",Condominium  •  Built-up : 877 sq. ft.,2,2,1
"The Fennel, Sentul Selatan, Sentul","RM800,000",(RM 597.91 per sq. ft.),"Sentul, Kuala Lumpur","Condominium  •  Built-up : 1,338 sq. ft.  •  Partly furnished",3,3,2
"Bandar Baru Sri Petaling, Kuala Lumpur, Sri Petaling","RM900,000",(RM 473.68 per sq. ft.),"Sri Petaling, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,900 sq. ft.  •  Partly furnished",4,3,2
"Villa Seri Puteri, Taman Kobena, Cheras","RM520,000",(RM 400 per sq. ft.),"Cheras, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,300 sq. ft.",3,2,1
"Hampshire Residences, Hampshire Park, KLCC","RM1,710,000",(RM 897.64 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,905 sq. ft.",3+1,4,2
"Taman Bukit Segar, Cheras","RM2,999,999",(RM 150.17 per sq. ft.),"Cheras, Kuala Lumpur","Residential Land  •  Land area : 19,977 sq. ft.",,,
"Alam Damai, Damai Kasih, Cheras, Cheras","RM1,688,000",(RM 511.52 per sq. ft.),"Cheras, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,300 sq. ft.  •  Partly furnished",4,4,2
"Taman Desa, Old Klang Road, Taman Desa","RM1,330,000",(RM 665 per sq. ft.),"Taman Desa, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,000 sq. ft.  •  Partly furnished",4,3,3
"The Mansion,Desa Park City, Desa ParkCity","RM6,500,000",(RM 1000 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Semi-detached House | Corner lot  •  Built-up : 6,500 sq. ft.  •  Fully furnished",5+2,6,4
"Sky Suites @ KLCC, KLCC","RM800,000",(RM 1230.77 per sq. ft.),"KLCC, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 650 sq. ft.  •  Fully furnished,2,2,
"Setia Sky Seputeh, Seputeh","RM2,400,000",(RM 895.52 per sq. ft.),"Seputeh, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,680 sq. ft.  •  Partly furnished",4+1,5,3
"Residensi 22, Mont Kiara","RM3,200,000",(RM 1020.08 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 3,137 sq. ft.  •  Fully furnished",4+1,5,3
"The Estate, Kampung Kerinchi (Bangsar South)","RM1,830,000",(RM 726.48 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,519 sq. ft.  •  Partly furnished",4+1,5,4
"The Estate, Kampung Kerinchi (Bangsar South)","RM2,250,000",(RM 872.09 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,580 sq. ft.  •  Partly furnished",4+1,5,4
"The Estate, Kampung Kerinchi (Bangsar South)","RM2,100,000",(RM 833.66 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,519 sq. ft.  •  Partly furnished",4+1,5,4
"Inspirasi, Mont Kiara","RM780,000",(RM 768.47 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,015 sq. ft.  •  Unfurnished",3,2,2
"10 Stonor, KLCC","RM1,100,000",(RM 1373.28 per sq. ft.),"KLCC, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 801 sq. ft.  •  Partly furnished,2+1,2,1
"Kemaris, Bangsar","RM4,500,000",(RM 1406.25 per sq. ft.),"Bangsar, Kuala Lumpur","Bungalow | Corner lot  •  Built-up : 3,200 sq. ft.  •  Partly furnished",5+1,4,4
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","RM850,000",(RM 704.81 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,206 sq. ft.  •  Partly furnished",4+1,4,3
"Inspirasi, Mont Kiara","RM720,000",(RM 765.96 per sq. ft.),"Mont Kiara, Kuala Lumpur",Condominium | Intermediate  •  Built-up : 940 sq. ft.  •  Unfurnished,3,2,2
"Residensi 22, Mont Kiara","RM1,850,000",(RM 907.75 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,038 sq. ft.  •  Partly furnished",3+1,3,2
"Residensi Ampang Tengah 6 (AT 6), Ampang","RM4,000,000",(RM 1139.93 per sq. ft.),"Ampang, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,509 sq. ft.  •  Partly furnished",4+2,5,3
"Residensi Ampang Tengah 6 (AT 6), Ampang","RM3,500,000",(RM 1250.45 per sq. ft.),"Ampang, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,799 sq. ft.  •  Partly furnished",3+2,4,2
"Kepong Baru, Kepong","RM1,400,000",(RM 590.72 per sq. ft.),"Kepong, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 2,370 sq. ft.  •  Partly furnished",5,2,
"Residensi 22, Mont Kiara","RM2,100,000",(RM 1039.6 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,020 sq. ft.  •  Partly furnished",3+1,3,2
"Maxim Citylights @ Sentul Kl, Sentul","RM350,000",(RM 346.88 per sq. ft.),"Sentul, Kuala Lumpur","Serviced Residence  •  Built-up : 1,009 sq. ft.",3,2,2
"Maxim Citylights @ Sentul Kl, Sentul","RM400,000",(RM 365.3 per sq. ft.),"Sentul, Kuala Lumpur","Serviced Residence  •  Built-up : 1,095 sq. ft.  •  Partly furnished",3,2,2
"Sunway Mont Residences, Mont Kiara","RM1,100,000",(RM 980.39 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,122 sq. ft.",2+1,2,2
"Arcoris Soho, Mont Kiara","RM720,000",(RM 1001.39 per sq. ft.),"Mont Kiara, Kuala Lumpur",Serviced Residence | Soho  •  Built-up : 719 sq. ft.  •  Fully furnished,1+1,1,1
"Prima Tiara II, Segambut","RM300,000",(RM 324.32 per sq. ft.),"Segambut, Kuala Lumpur",Apartment  •  Built-up : 925 sq. ft.,3,2,1
"Twy Duplex Condos, Mont Kiara","RM1,230,000",(RM 895.2 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,374 sq. ft.  •  Fully furnished",3,3,2
"Twy Duplex Condos, Mont Kiara","RM610,000",(RM 921.45 per sq. ft.),"Mont Kiara, Kuala Lumpur",Condominium | Duplex  •  Built-up : 662 sq. ft.  •  Fully furnished,1,1,1
"The Orion, City centre, City Centre","RM790,000",(RM 531.63 per sq. ft.),"City Centre, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,486 sq. ft.  •  Fully furnished",3+1,3,2
"Taman Residensi Laman Residen, Jalan Kuching","RM1,680,000",(RM 350 per sq. ft.),"Jalan Kuching, Kuala Lumpur","Semi-detached House  •  Built-up : 4,800 sq. ft.  •  Partly furnished",5+1,6,4
"Agile Mont Kiara, Mont Kiara","RM1,300,000",(RM 944.08 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,377 sq. ft.  •  Partly furnished",3+1,3,2
"Laurel Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","RM380,001",(RM 767.68 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 495 sq. ft.  •  Partly furnished,1+1,1,1
Bangsar,"RM1,200,000",(RM 666.67 per sq. ft.),"Bangsar, Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 1,800 sq. ft.  •  Partly furnished",3,2,2
"Stonor 3, KLCC","RM1,500,000",(RM 1217.53 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,232 sq. ft.  •  Partly furnished",3,3,2
"Stonor 3, KLCC","RM1,100,000",(RM 1260.02 per sq. ft.),"KLCC, Kuala Lumpur",Condominium | Corner lot  •  Built-up : 873 sq. ft.  •  Fully furnished,2,2,1
"Agile Mont Kiara, Mont Kiara","RM1,680,000",(RM 813.56 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,065 sq. ft.  •  Partly furnished",4+1,4,2
"3 Storey Semi D Taman Desa Aman@Leisure Mall, Cheras","RM1,700,000",(RM 7.08 per sq. ft.),"Cheras, Kuala Lumpur","Semi-detached House  •  Built-up : 240,035 sq. ft.  •  Partly furnished",6,6,2
"One Central Park, Desa Parkcity, Desa ParkCity","RM1,530,000",(RM 1029.61 per sq. ft.),"Desa ParkCity, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,486 sq. ft.  •  Partly furnished",2+1,3,2
"Taman Megah , Kepong , Taman Petaling , Kepong","RM1,100,000",(RM 500 per sq. ft.),"Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,200 sq. ft.  •  Partly furnished",4,3,
"The Residence Condominium @ TTDI, Taman Tun Dr Ismail","RM1,350,000",(RM 737.7 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,830 sq. ft.  •  Partly furnished",3+1,3,2
"Taman Bukit Segar, Cheras","RM2,000,000",(RM 625 per sq. ft.),"Cheras, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,200 sq. ft.  •  Partly furnished",5+1,6,4
"Pavilion, Damansara Heights","RM1,090,000",(RM 1577.42 per sq. ft.),"Damansara Heights, Kuala Lumpur",Serviced Residence  •  Built-up : 691 sq. ft.  •  Partly furnished,1,1,1
"Jalan Balau, Damansara Heights","RM8,900,000",(RM 1060.53 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow  •  Built-up : 8,392 sq. ft.  •  Partly furnished",5+2,5,
"Twy Duplex Condos, Mont Kiara","RM750,000",(RM 913.52 per sq. ft.),"Mont Kiara, Kuala Lumpur",Condominium  •  Built-up : 821 sq. ft.  •  Fully furnished,2,1,1
"Pavilion Hilltop, Mont Kiara","RM1,760,000",(RM 1055.16 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,668 sq. ft.",3+1,4,2
"Pavilion Hilltop, Mont Kiara","RM1,520,000",(RM 1016.04 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,496 sq. ft.",3+1,4,3
"Residensi Sefina Mont Kiara, Mont Kiara","RM1,150,000",(RM 862.72 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,333 sq. ft.  •  Unfurnished",3,2,2
"Mizumi Residences, Kepong","RM600,000",(RM 584.23 per sq. ft.),"Kepong, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,027 sq. ft.  •  Unfurnished",4,2,2
"Sunway Mont Residences, Mont Kiara","RM1,000,000",(RM 891.27 per sq. ft.),"Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,122 sq. ft.  •  Unfurnished",2+1,2,2
"The Ritz-Carlton Residences, KLCC","RM4,369,000",(RM 2899.14 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,507 sq. ft.",2,2,2
"The Ritz-Carlton Residences, KLCC","RM3,228,000",(RM 3155.43 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,023 sq. ft.",1,1,1
"The Ritz-Carlton Residences, KLCC","RM12,800,000",(RM 3964.08 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 3,229 sq. ft.",3+2,5,4
"Le Nouvel, KLCC","RM4,900,000",(RM 2845.53 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 1,722 sq. ft.",2+1,2,2
"Quinn Residence, Taman Wangsa Maju, Wangsa Maju","RM390,000",(RM 566.04 per sq. ft.),"Wangsa Maju, Kuala Lumpur",Condominium  •  Built-up : 689 sq. ft.  •  Partly furnished,2+1,2,1
"Pinnacle, Sri Petaling","RM490,000",(RM 691.11 per sq. ft.),"Sri Petaling, Kuala Lumpur",Condominium  •  Built-up : 709 sq. ft.  •  Unfurnished,2,2,1
"Taman Prima Impian , Taman Sri Bintang ,Kepong , Segambut","RM1,670,000",(RM 596.43 per sq. ft.),"Segambut, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,800 sq. ft.  •  Partly furnished",4+1,3,
"Dale, Lake Fields, Sungai Besi","RM1,280,000",(RM 492.31 per sq. ft.),"Sungai Besi, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished",5+1,5,4
"Damansara Heights, Bukit Damansara, Kuala Lumpur, Damansara Heights","RM4,200,000",(RM 933.33 per sq. ft.),"Damansara Heights, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished",5+1,6,3
"Pinggiran Kiara, Taman Tun Dr Ismail","RM830,000",(RM 698.65 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,188 sq. ft.  •  Partly furnished",2+1,2,1
"Xtra Large Land Area. Pristine Condition, Taman Tun Dr Ismail","RM2,000,000",(RM 952.38 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,100 sq. ft.  •  Partly furnished",4,3,
"Datuk Sulaiman, TTDI , Taman Tun Dr Ismail","RM1,700,000",(RM 809.52 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,100 sq. ft.",4,3,1
"TTDI, Taman Tun Dr Ismail","RM1,600,000",(RM 888.89 per sq. ft.),"Taman Tun Dr Ismail, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 1,800 sq. ft.",3,3,2
"Savanna Condominium, Bukit Jalil","RM570,000",(RM 470.3 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Condominium  •  Built-up : 1,212 sq. ft.  •  Unfurnished",4,2,3
"Residensi Ampang Tengah 6 (AT 6), Ampang","RM4,100,000",(RM 1168.42 per sq. ft.),"Ampang, Kuala Lumpur","Condominium  •  Built-up : 3,509 sq. ft.  •  Partly furnished",4+1,5,3
"Villa Crystal, Taman Sri Sinar, Segambut","RM615,000",(RM 532.47 per sq. ft.),"Segambut, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,155 sq. ft.  •  Partly furnished",3+1,3,2
"oug, Bukit Jalil","RM748,000",(RM 582.55 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Townhouse | Intermediate  •  Built-up : 1,284 sq. ft.  •  Partly furnished",3,3,
"The Goodwood Residence, Bangsar South, Kampung Kerinchi (Bangsar South)","RM830,000",(RM 701.01 per sq. ft.),"Kampung Kerinchi (Bangsar South), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,184 sq. ft.  •  Partly furnished",4,3,2
"Breezeway, The Breezeway, Desa ParkCity, Desa ParkCity","RM3,400,000",(RM 929.98 per sq. ft.),"Desa ParkCity, Kuala Lumpur","3.5-sty Terrace/Link House  •  Built-up : 3,656 sq. ft.",5+1,6,3
"Twin Arkz, Bukit Jalil","RM850,000",(RM 829.27 per sq. ft.),"Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,025 sq. ft.  •  Fully furnished",2,2,2
KLCC,"RM1,550,000",(RM 1722.22 per sq. ft.),"KLCC, Kuala Lumpur",Bungalow | Corner lot  •  Built-up : 900 sq. ft.  •  Fully furnished,2,2,1
KLCC,"RM1,100,000",(RM 1729.56 per sq. ft.),"KLCC, Kuala Lumpur",Bungalow | Corner lot  •  Built-up : 636 sq. ft.  •  Fully furnished,1,1,1
"The Sentral Residences, KL Sentral","RM1,700,000",(RM 951.32 per sq. ft.),"KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,787 sq. ft.  •  Partly furnished",3+1,4,2
"The Sentral Residences, KL Sentral","RM1,050,000",(RM 938.34 per sq. ft.),"KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,119 sq. ft.  •  Fully furnished",1,2,1
"Damansara Heights, Bukit Damansara, Kuala Lumpur, Damansara Heights","RM3,800,000",(RM 844.44 per sq. ft.),"Damansara Heights, Kuala Lumpur","Bungalow | Intermediate  •  Built-up : 4,500 sq. ft.  •  Partly furnished",5+1,4,6
"WANGSA 9 RESIDENCY, Wangsa Maju","RM760,000",(RM 690.91 per sq. ft.),"Wangsa Maju, Kuala Lumpur","Condominium  •  Built-up : 1,100 sq. ft.",2,2,2
"Robson Condominium, Taman Seputeh, Seputeh","RM680,000",(RM 517.9 per sq. ft.),"Seputeh, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,313 sq. ft.  •  Fully furnished",3,2,1
"Trinity Lemanja, Kepong","RM525,000",(RM 546.88 per sq. ft.),"Kepong, Kuala Lumpur",Condominium  •  Built-up : 960 sq. ft.,3,2,2
"Aira Residence, Damansara Heights","RM2,950,000",(RM 1557.55 per sq. ft.),"Damansara Heights, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,894 sq. ft.  •  Partly furnished",3+1,3,2
"Lake City, Taman Wahyu, Kepong","RM496,000",(RM 525.98 per sq. ft.),"Kepong, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 943 sq. ft.  •  Partly furnished,3,2,1
"Four Seasons Place, KLCC","RM8,700,000",(RM 3015.6 per sq. ft.),"KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,885 sq. ft.  •  Fully furnished",4+1,5,2
"The Ritz-Carlton Residences, KLCC","RM5,500,000",(RM 2567.69 per sq. ft.),"KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,142 sq. ft.  •  Fully furnished",4,4,3
"Kiara Designer Suites, Mont Kiara","RM1,100,000",(RM 619.72 per sq. ft.),"Mont Kiara, Kuala Lumpur","Serviced Residence  •  Built-up : 1,775 sq. ft.  •  Partly furnished",3,2,2
"Villa Serene Kiara, Sri Hartamas","RM3,500,000",(RM 538.46 per sq. ft.),"Sri Hartamas, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 6,500 sq. ft.  •  Partly furnished",4+1,5,4
"Park Seven, KLCC","RM2,500,000",(RM 890.31 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 2,808 sq. ft.  •  Partly furnished",3+1,3,2
"Aira Residence, Damansara Heights","RM3,300,000",(RM 1742.34 per sq. ft.),"Damansara Heights, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,894 sq. ft.  •  Partly furnished",3+1,3,2
"Aira Residence, Damansara Heights","RM7,900,000",(RM 1759.86 per sq. ft.),"Damansara Heights, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 4,489 sq. ft.  •  Partly furnished",4+2,5,3
Mont Kiara,"RM2,200,000",(RM 612.81 per sq. ft.),"Mont Kiara, Kuala Lumpur","Semi-detached House | End lot  •  Built-up : 3,590 sq. ft.  •  Fully furnished",5,5,2
"The Troika, KLCC","RM2,300,000",(RM 1073.76 per sq. ft.),"KLCC, Kuala Lumpur","Condominium  •  Built-up : 2,142 sq. ft.  •  Fully furnished",3+1,4,2
"Bangsar Baru Terasek , Bangsar","RM1,650,000",(RM 882.35 per sq. ft.),"Bangsar, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Unfurnished",4+1,3,2
